frame,track_id,label,x1,y1,x2,y2,confidence,source,cx,cy
6,15,person,177,176,210,241,0.3878035545349121,main,193.5,208.5
7,1,person,726,556,892,795,0.7961456179618835,main,809.0,675.5
7,2,person,767,53,819,134,0.8921111822128296,main,793.0,93.5
7,3,person,663,282,739,437,0.8881842494010925,main,701.0,359.5
7,4,person,1070,52,1111,131,0.8630350232124329,main,1090.5,91.5
7,5,person,1038,0,1068,44,0.7574328780174255,main,1053.0,22.0
7,6,person,892,0,920,48,0.6889321804046631,main,906.0,24.0
7,7,person,1305,47,1330,113,0.7587454915046692,main,1317.5,80.0
7,8,person,1256,36,1290,101,0.5899176001548767,main,1273.0,68.5
7,11,person,0,449,11,480,0.3326984643936157,main,5.5,464.5
7,12,person,1192,38,1219,102,0.7134968638420105,main,1205.5,70.0
7,13,person,1336,34,1363,101,0.3885597884654999,main,1349.5,67.5
7,15,person,176,176,210,241,0.3649785816669464,main,193.0,208.5
7,21,racket,699,367,742,395,0.689509391784668,main,720.5,381.0
8,1,person,727,555,892,794,0.8435959219932556,main,809.5,674.5
8,2,person,767,53,820,134,0.8965765833854675,main,793.5,93.5
8,3,person,664,282,741,437,0.8884133696556091,main,702.5,359.5
8,4,person,1071,52,1111,130,0.8645707368850708,main,1091.0,91.0
8,5,person,1038,0,1068,44,0.7484501004219055,main,1053.0,22.0
8,6,person,891,0,919,48,0.7307404279708862,main,905.0,24.0
8,7,person,1304,47,1328,112,0.72694993019104,main,1316.0,79.5
8,8,person,1254,36,1288,102,0.7000371813774109,main,1271.0,69.0
8,11,person,0,449,11,480,0.3238153159618377,main,5.5,464.5
8,12,person,1192,38,1219,102,0.7313066124916077,main,1205.5,70.0
8,13,person,1335,34,1363,101,0.4010002017021179,main,1349.0,67.5
8,15,person,176,176,210,241,0.3951069414615631,main,193.0,208.5
8,21,racket,701,367,742,393,0.7825966477394104,main,721.5,380.0
9,1,person,727,555,892,794,0.8390792012214661,main,809.5,674.5
9,2,person,768,53,821,134,0.8885340094566345,main,794.5,93.5
9,3,person,666,282,743,437,0.8908883929252625,main,704.5,359.5
9,4,person,1071,51,1112,129,0.859575629234314,main,1091.5,90.0
9,5,person,1039,0,1068,44,0.7510974407196045,main,1053.5,22.0
9,6,person,890,0,919,48,0.7665075659751892,main,904.5,24.0
9,7,person,1303,48,1327,113,0.68611079454422,main,1315.0,80.5
9,8,person,1253,36,1286,102,0.6707258820533752,main,1269.5,69.0
9,11,person,0,449,11,480,0.3344362676143646,main,5.5,464.5
9,12,person,1191,38,1218,102,0.7409655451774597,main,1204.5,70.0
9,13,person,1335,34,1363,101,0.3064599335193634,main,1349.0,67.5
9,15,person,176,176,210,241,0.3551871478557586,main,193.0,208.5
9,21,racket,705,366,744,391,0.8174317479133606,main,724.5,378.5
10,1,person,729,555,892,794,0.8403306007385254,main,810.5,674.5
10,2,person,769,53,822,134,0.8892518281936646,main,795.5,93.5
10,3,person,667,282,745,437,0.9008642435073853,main,706.0,359.5
10,4,person,1072,51,1112,128,0.8599177002906799,main,1092.0,89.5
10,5,person,1039,0,1068,44,0.7483609318733215,main,1053.5,22.0
10,6,person,889,0,918,48,0.7830221056938171,main,903.5,24.0
10,7,person,1301,48,1326,113,0.691557765007019,main,1313.5,80.5
10,8,person,1252,36,1285,102,0.6718109846115112,main,1268.5,69.0
10,11,person,0,449,11,480,0.3371000587940216,main,5.5,464.5
10,12,person,1190,38,1218,102,0.7193505167961121,main,1204.0,70.0
10,13,person,1335,35,1363,101,0.4008723497390747,main,1349.0,68.0
10,15,person,176,176,210,241,0.3706053793430328,main,193.0,208.5
10,21,racket,708,364,746,389,0.8202332854270935,main,727.0,376.5
11,1,person,730,555,892,794,0.7877751588821411,main,811.0,674.5
11,2,person,771,52,823,134,0.8826802968978882,main,797.0,93.0
11,3,person,668,281,747,437,0.90144145488739,main,707.5,359.0
11,4,person,1073,51,1112,127,0.8648203015327454,main,1092.5,89.0
11,5,person,1039,0,1068,44,0.7514383792877197,main,1053.5,22.0
11,6,person,888,0,917,48,0.7935287356376648,main,902.5,24.0
11,7,person,1300,48,1325,113,0.6898918747901917,main,1312.5,80.5
11,8,person,1251,36,1284,101,0.6573210954666138,main,1267.5,68.5
11,11,person,0,449,11,480,0.3375365436077118,main,5.5,464.5
11,12,person,1190,38,1218,102,0.6964326500892639,main,1204.0,70.0
11,13,person,1335,35,1363,100,0.3323848843574524,main,1349.0,67.5
11,15,person,176,176,210,241,0.40137580037117,main,193.0,208.5
11,21,racket,710,363,749,388,0.7808791399002075,main,729.5,375.5
12,1,person,731,555,892,794,0.6881056427955627,main,811.5,674.5
12,2,person,773,52,824,133,0.8548175096511841,main,798.5,92.5
12,3,person,668,281,747,437,0.8851042985916138,main,707.5,359.0
12,4,person,1074,51,1113,127,0.8543773889541626,main,1093.5,89.0
12,5,person,1038,0,1068,44,0.7398055791854858,main,1053.0,22.0
12,6,person,887,0,917,48,0.7924605011940002,main,902.0,24.0
12,7,person,1298,47,1324,114,0.7352805733680725,main,1311.0,80.5
12,8,person,1250,36,1283,101,0.6249653697013855,main,1266.5,68.5
12,11,person,0,449,11,480,0.335766851902008,main,5.5,464.5
12,12,person,1188,38,1217,101,0.6637584567070007,main,1202.5,69.5
12,13,person,1334,35,1362,100,0.3781314194202423,main,1348.0,67.5
12,15,person,176,176,210,241,0.3606321811676025,main,193.0,208.5
12,21,racket,713,362,753,387,0.7924479246139526,main,733.0,374.5
13,1,person,725,555,883,794,0.6280345320701599,main,804.0,674.5
13,2,person,774,52,826,134,0.8544344902038574,main,800.0,93.0
13,3,person,668,281,747,437,0.8886778354644775,main,707.5,359.0
13,4,person,1076,51,1115,126,0.8479693531990051,main,1095.5,88.5
13,5,person,1037,0,1067,44,0.757584273815155,main,1052.0,22.0
13,6,person,887,0,917,48,0.7977858185768127,main,902.0,24.0
13,7,person,1297,47,1324,114,0.661833643913269,main,1310.5,80.5
13,8,person,1250,36,1282,101,0.5960928201675415,main,1266.0,68.5
13,11,person,0,449,11,480,0.3230613470077514,main,5.5,464.5
13,12,person,1186,38,1214,101,0.7121465802192688,main,1200.0,69.5
13,13,person,1334,35,1362,100,0.2889249622821808,main,1348.0,67.5
13,15,person,176,176,210,241,0.2944766283035278,main,193.0,208.5
13,21,racket,715,361,755,386,0.8111046552658081,main,735.0,373.5
14,1,person,732,555,888,794,0.7454781532287598,main,810.0,674.5
14,2,person,777,52,828,134,0.8737210631370544,main,802.5,93.0
14,3,person,668,280,748,437,0.8851239085197449,main,708.0,358.5
14,4,person,1079,51,1117,125,0.8372010588645935,main,1098.0,88.0
14,5,person,1037,0,1067,45,0.7830499410629272,main,1052.0,22.5
14,6,person,886,0,916,49,0.8181397914886475,main,901.0,24.5
14,7,person,1297,46,1324,114,0.3079701662063598,main,1310.5,80.0
14,8,person,1251,36,1282,100,0.4724631607532501,main,1266.5,68.0
14,11,person,0,449,11,480,0.3234590888023376,main,5.5,464.5
14,12,person,1184,38,1213,101,0.7677044868469238,main,1198.5,69.5
14,15,person,176,176,210,241,0.2951101958751678,main,193.0,208.5
14,21,racket,716,360,757,385,0.8003814816474915,main,736.5,372.5
15,1,person,734,555,889,794,0.8174675107002258,main,811.5,674.5
15,2,person,779,52,829,134,0.8593629598617554,main,804.0,93.0
15,3,person,668,280,748,436,0.8966355919837952,main,708.0,358.0
15,4,person,1081,51,1119,125,0.8338457942008972,main,1100.0,88.0
15,5,person,1036,0,1067,45,0.7872405052185059,main,1051.5,22.5
15,6,person,886,0,916,49,0.8111662864685059,main,901.0,24.5
15,8,person,1252,37,1282,99,0.2716973125934601,main,1267.0,68.0
15,11,person,0,449,11,480,0.3144096732139587,main,5.5,464.5
15,12,person,1184,38,1212,101,0.8041146993637085,main,1198.0,69.5
15,15,person,176,176,210,241,0.4277041256427765,main,193.0,208.5
15,21,racket,717,360,758,385,0.8012061715126038,main,737.5,372.5
16,1,person,736,555,890,794,0.8509330153465271,main,813.0,674.5
16,2,person,781,52,829,134,0.8277549743652344,main,805.0,93.0
16,3,person,669,279,749,437,0.8955933451652527,main,709.0,358.0
16,4,person,1082,51,1121,125,0.8489197492599487,main,1101.5,88.0
16,5,person,1036,0,1067,45,0.7970820069313049,main,1051.5,22.5
16,6,person,886,0,916,49,0.8176442980766296,main,901.0,24.5
16,8,person,1248,36,1279,100,0.3753355741500854,main,1263.5,68.0
16,11,person,0,449,11,481,0.2851365804672241,main,5.5,465.0
16,12,person,1183,38,1212,101,0.7924043536186218,main,1197.5,69.5
16,15,person,176,176,210,241,0.4615008234977722,main,193.0,208.5
16,21,racket,718,360,760,385,0.7930725812911987,main,739.0,372.5
16,27,person,99,204,129,260,0.3368574678897857,main,114.0,232.0
16,28,person,393,73,422,128,0.3613975346088409,main,407.5,100.5
16,29,person,352,98,379,147,0.3989298045635223,main,365.5,122.5
17,1,person,737,555,890,794,0.8904514908790588,main,813.5,674.5
17,2,person,783,52,830,134,0.8268101215362549,main,806.5,93.0
17,3,person,670,278,749,436,0.8929080963134766,main,709.5,357.0
17,4,person,1083,51,1123,125,0.8617079257965088,main,1103.0,88.0
17,5,person,1036,0,1067,44,0.8050037622451782,main,1051.5,22.0
17,6,person,886,0,916,49,0.820014238357544,main,901.0,24.5
17,8,person,1247,37,1278,101,0.2584461569786072,main,1262.5,69.0
17,11,person,0,449,11,481,0.286415547132492,main,5.5,465.0
17,12,person,1183,38,1211,101,0.8021911382675171,main,1197.0,69.5
17,15,person,176,176,210,241,0.4840345978736877,main,193.0,208.5
17,21,racket,717,361,760,386,0.7908993363380432,main,738.5,373.5
17,27,person,99,203,129,260,0.3451798558235168,main,114.0,231.5
17,28,person,393,73,422,128,0.3221034109592438,main,407.5,100.5
17,29,person,352,98,378,147,0.2991495728492737,main,365.0,122.5
18,1,person,737,555,890,794,0.8606235384941101,main,813.5,674.5
18,2,person,785,52,830,134,0.8241366147994995,main,807.5,93.0
18,3,person,671,277,750,436,0.8910738229751587,main,710.5,356.5
18,4,person,1084,51,1124,125,0.8671137094497681,main,1104.0,88.0
18,5,person,1036,0,1067,44,0.810889720916748,main,1051.5,22.0
18,6,person,886,0,916,49,0.808087170124054,main,901.0,24.5
18,11,person,0,449,12,481,0.2847797274589538,main,6.0,465.0
18,12,person,1183,38,1210,100,0.7873938083648682,main,1196.5,69.0
18,15,person,176,176,210,241,0.4779067933559418,main,193.0,208.5
18,21,racket,718,361,761,386,0.7856740951538086,main,739.5,373.5
18,27,person,98,203,128,261,0.3260364830493927,main,113.0,232.0
18,28,person,392,74,421,128,0.2928636372089386,main,406.5,101.0
19,1,person,738,555,890,795,0.8915156722068787,main,814.0,675.0
19,2,person,787,52,833,133,0.8617043495178223,main,810.0,92.5
19,3,person,672,276,751,436,0.8911300301551819,main,711.5,356.0
19,4,person,1084,52,1125,125,0.8714950680732727,main,1104.5,88.5
19,5,person,1035,0,1067,44,0.8129701614379883,main,1051.0,22.0
19,6,person,885,0,916,49,0.8032419085502625,main,900.5,24.5
19,8,person,1243,36,1276,102,0.325225830078125,main,1259.5,69.0
19,11,person,0,449,12,481,0.2844662368297577,main,6.0,465.0
19,12,person,1182,38,1210,100,0.7889740467071533,main,1196.0,69.0
19,15,person,176,176,210,241,0.3423236906528473,main,193.0,208.5
19,21,racket,718,361,762,386,0.7844434380531311,main,740.0,373.5
19,28,person,391,74,421,129,0.2768387496471405,main,406.0,101.5
20,1,person,738,555,890,795,0.8956783413887024,main,814.0,675.0
20,2,person,790,51,834,133,0.879018247127533,main,812.0,92.0
20,3,person,673,275,751,436,0.8834564685821533,main,712.0,355.5
20,4,person,1084,52,1125,125,0.8735514283180237,main,1104.5,88.5
20,5,person,1035,0,1067,44,0.8266316652297974,main,1051.0,22.0
20,6,person,885,0,916,49,0.8078866600990295,main,900.5,24.5
20,8,person,1242,36,1275,103,0.271283358335495,main,1258.5,69.5
20,11,person,0,449,12,481,0.2822586894035339,main,6.0,465.0
20,12,person,1182,38,1209,100,0.792529284954071,main,1195.5,69.0
20,15,person,176,176,210,240,0.4058308899402618,main,193.0,208.0
20,21,racket,718,361,763,387,0.7978549003601074,main,740.5,374.0
21,1,person,739,555,890,796,0.8956305980682373,main,814.5,675.5
21,2,person,793,51,837,132,0.8500784635543823,main,815.0,91.5
21,3,person,674,274,751,436,0.8887999057769775,main,712.5,355.0
21,4,person,1084,53,1125,125,0.87156742811203,main,1104.5,89.0
21,5,person,1034,0,1066,44,0.8191125988960266,main,1050.0,22.0
21,6,person,884,0,916,50,0.7846015095710754,main,900.0,25.0
21,8,person,1242,36,1275,103,0.3422884941101074,main,1258.5,69.5
21,11,person,0,449,12,481,0.2812481820583343,main,6.0,465.0
21,12,person,1181,38,1208,100,0.8119325637817383,main,1194.5,69.0
21,15,person,176,176,210,240,0.4603592753410339,main,193.0,208.0
21,21,racket,719,361,763,387,0.7914148569107056,main,741.0,374.0
21,33,person,1242,39,1267,103,0.3338077068328857,main,1254.5,71.0
22,1,person,739,555,890,797,0.8914411067962646,main,814.5,676.0
22,2,person,796,51,839,132,0.8744102120399475,main,817.5,91.5
22,3,person,675,273,751,435,0.8981872200965881,main,713.0,354.0
22,4,person,1084,54,1125,125,0.8762332201004028,main,1104.5,89.5
22,5,person,1034,0,1066,44,0.8115311861038208,main,1050.0,22.0
22,6,person,884,0,915,50,0.7817894816398621,main,899.5,25.0
22,8,person,1241,38,1273,103,0.4112143516540527,main,1257.0,70.5
22,11,person,0,449,12,481,0.2931061089038849,main,6.0,465.0
22,12,person,1180,38,1208,99,0.8025898337364197,main,1194.0,68.5
22,15,person,176,176,210,240,0.3708457350730896,main,193.0,208.0
22,21,racket,718,361,764,387,0.7815475463867188,main,741.0,374.0
23,1,person,739,555,890,798,0.8911384344100952,main,814.5,676.5
23,2,person,798,51,842,131,0.8647661805152893,main,820.0,91.0
23,3,person,676,273,752,434,0.8950539231300354,main,714.0,353.5
23,4,person,1084,55,1125,125,0.8799111843109131,main,1104.5,90.0
23,5,person,1034,0,1066,44,0.7991203665733337,main,1050.0,22.0
23,6,person,884,0,915,50,0.7850390076637268,main,899.5,25.0
23,8,person,1241,39,1272,103,0.5307900309562683,main,1256.5,71.0
23,11,person,0,449,12,481,0.2931214272975921,main,6.0,465.0
23,12,person,1180,38,1208,99,0.8123043775558472,main,1194.0,68.5
23,15,person,176,176,210,239,0.342399388551712,main,193.0,207.5
23,21,racket,718,361,763,387,0.797556459903717,main,740.5,374.0
